Product Name,Style Number,Garment Color,Vendor,Decoration Type,Decoration Color
24/7 Original Tactical Pant Rip-Stop - Black / 54,,,Tru-Spec,,
24/7 Original Tactical Pant Rip-Stop - Charcoal / 40,,,Tru-Spec,,
24/7 Original Tactical Pant Rip-Stop - Coyote / 34,,,,,
24/7 Original Tactical Pant Rip-Stop - Coyote / 36,,,,,
24/7 Original Tactical Pant Rip-Stop - Coyote / 40,,,,,
24/7 Original Tactical Pant Rip-Stop - Navy / 36,,,,,
24/7 Original Tactical Pant Rip-Stop - Olive Drab / 36,,,,,
Men's Deluxe Long Sleeve Cotton Coverall - Navy,,,,,
Straw Hat,,,Outdoor Cap,Embroidery,
Tru-Spec Agility Pant - Black / 30,,,,,
Tru-Spec Agility Pant - Flat Dark Earth / 30,,,,,
Tru-Spec Agility Pant - Flat Dark Earth / 36,,,,,
Tru-Spec Pro Flex Pant - LE Green / 36,,,,,
,02MCWST,32 x 30,Wrangler,,
1104,1104,Ascent,,,
110C,110C,Hat,,,
Richardson Trucker Cap,112,Charcoal/ Columbia Blue,,,
Richardson Trucker Cap,112,Heather Grey/ Navy,,,
Richardson Pro Twill Snapback,212,Maroon,,,
Men's PFG Bahama™ II Short Sleeve Shirt,212464,Fossil,S&S Activewear,Embroidery,Black
Bora Bora™ Booney,212477,Fossil,S&S Activewear,Embroidery,Black
Bora Bora™ Booney,212477,Grill,S&S Activewear,Embroidery,Silver
Bora Bora™ Booney,212477,Sage,S&S Activewear,Embroidery,Black
2XL,2574,KHAKI,,,
Richardson 5-Panel Classic Rope Cap,258,Black/ White,,,
Richardson 5-Panel Classic Rope Cap,258,Red/ White,,,
2574,2XL,Khaki,VF,Embroidery,Black
2574,2XL,Silver,VF,Embroidery,Black
NKDC2109,2XL,Navy,,,
NKDC2115,2XL,Team Red,,,
NKFQ4792,2XL,University Blue,,,
ST660,2XL,Orange,,,
01MWXDB,31X30,,Wrangler,,
Dickies Short Sleeve Coverall,3339DN,Navy,VF,Embroidery,White
35001AI,35001AI,Wrangler Rugged Wear Relaxed Fit Jean,,,
Richardson Laser Perf Performance Rope Cap,355,Dark Loden/ Tannin Grey,,,
Richardson Laser Perf Performance Rope Cap,355,Light Olive/ Olive,,,
874,38X36,Khaki,VF,,
874,38X36,Silver,VF,,
3W060,3W060,Wrangler® RIGGS Workwear® Ripstop Ranger Cargo Pant,,,
Richardson,5-PANEL,Classic Rope Cap 258 - Black/ White,,,
Richardson,5-PANEL,Classic Rope Cap 258 - Red/ White,,,
Men's Challenger Full-Zip Jacket,5302,Grey,S&S Activewear,Embroidery,Black
Men's Challenger Full-Zip Jacket,5302,Saddle,S&S Activewear,Embroidery,Black
Men's Motion Soft Shell Jacket,5350,Charcoal,S&S Activewear,Embroidery,Silver
Men's Motion Soft Shell Jacket,5350,Deep Blue/ Charcoal,S&S Activewear,Embroidery,Silver
Men's Motion Soft Shell Jacket,5350,Saddle,S&S Activewear,Embroidery,Black
NU® Cap,6100NU,Black,SanMar,Embroidery,White
Cotton Blend Cap,6277,Grey,S&S Activewear,Embroidery,Silver
Cotton Blend Cap,6277,Khaki,S&S Activewear,Embroidery,Black
Cotton Blend Cap,6277,Maroon,S&S Activewear,Embroidery,Silver
Cotton Blend Cap,6277,Navy,S&S Activewear,Embroidery,Silver
Nike Dri-FIT Vertical Mesh Polo,637167,Old Royal,,,
Trucker Cap,6511,Black,S&S Activewear,Embroidery,Silver
Trucker Cap,6511,Caramel,S&S Activewear,Embroidery,Black
Trucker Cap,6511,Charcoal,S&S Activewear,Embroidery,Silver
,6572,Navy or Black,S&S Activewear,Embroidery,Silver
PC78ZH,6XL,Navy,,,
Gildan ® DryBlend ® 50 Cotton/50 Poly T-Shirt,8000,Sand,,,
Richardson Lite Wide Brim Hat,810,Black,,,
Richardson Lite Wide Brim Hat,810,Royal,,,
Men's Tall Pinnacle Performance Long Sleeve Piqué Polo,88192T,Carbon,S&S Activewear,Embroidery,Silver
Men's Tall Pinnacle Performance Long Sleeve Piqué Polo,88192T,Classic Navy,S&S Activewear,Embroidery,Silver
Men's Ultimate365 Wind Quarter-Zip Pullover,A2027,Black,S&S Activewear,Embroidery,Silver
A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Black,,,
A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Graphite,,,
A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Navy,,,
A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Pastel Blue,,,
A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Pastel Mint,,,
A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Royal,,,
A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Scarlet,,,
A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Silver,,,
B9203,B9203,Large,,,
Brooks Brothers ® Tech Stretch Patterned Shirt,BB18006,Charter Blue Check,,,
Brooks Brothers ® Tech Stretch Patterned Shirt,BB18006,White/ Newport Blue Grid Check,,,
BELLA+CANVAS ® Unisex Heather CVC Short Sleeve Tee,BC3001CVC,Heather Grass Green,,,
BELLA+CANVAS ® Unisex Heather CVC Short Sleeve Tee,BC3001CVC,Heather Sunset,,,
BELLA+CANVAS ® Unisex Heather CVC Short Sleeve Tee,BC3001CVC,Solid Red Blend,,,
BELLA+CANVAS ® Unisex Heather CVC Short Sleeve Tee,BC3001CVC,Solid True Royal Blend,,,
,BCK01127,XL Tall Atlas,Cutter & Buck,Embroidery,Black
Tru-Spec Agility Pant,BLACK/30/34,,,,
24/7 Original Tactical Pant Rip-Stop,BLACK/54/UH,,,,
Port Authority ® Flexfit ® Cotton Twill Cap,C813,Forest Green,,,
Port Authority ® Flexfit ® Cotton Twill Cap,C813,Kelly Green,,,
Port Authority ® Flexfit ® Cotton Twill Cap,C813,Maroon,,,
Port Authority ® Flexfit ® Cotton Twill Cap,C813,Orange,,,
Port Authority ® Flexfit ® Cotton Twill Cap,C813,True Red,,,
Port Authority ® Double Mesh Snapback Sandwich Bill Cap,C818,Black/ Red,,,
Port Authority ® Double Mesh Snapback Sandwich Bill Cap,C818,Black/ Shock Blue,,,
Port Authority ® Double Mesh Snapback Sandwich Bill Cap,C818,Black/ Shock Green,,,
Port Authority ® Double Mesh Snapback Sandwich Bill Cap,C818,Black/ Silver,,,
Port Authority ® Outdoor Wide-Brim Hat,C920,Sterling Grey,,,
Port Authority ® Outdoor Wide-Brim Hat,C920,Stone,,,
24/7 Original Tactical Pant Rip-Stop,CHARCOAL/40/30,,,,
24/7 Original Tactical Pant Rip-Stop,COYOTE/34/34,,,,
24/7 Original Tactical Pant Rip-Stop,COYOTE/36/32,,,,
24/7 Original Tactical Pant Rip-Stop,COYOTE/40/30,,,,
Port Authority ® Knit Cap,CP90,Athletic Oxford,SanMar,Embroidery,
Port Authority ® Knit Cap,CP90,Neon Orange,,,
CornerStone ® ANSI 107 Class 3 Long Sleeve Segmented Tape Hooded Tee,CS208,Safety Yellow,,,
CornerStone ® Select Lightweight Snag-Proof Enhanced Visibility Polo,CS423,Safety Yellow/ Black,,,
Carhartt ® Rain Defender ® Paxton Heavyweight Hooded Sweatshirt,CT100615,New Navy,,,
Carhartt ® Rain Defender ® Paxton Heavyweight Hooded Zip Mock Sweatshirt,CT100617,Carbon Heather,,,
Carhartt ® Gilliam Vest,CT102286,Moss,,,
Carhartt ® Gilliam Vest,CT102286,Shadow Grey,,,
Carhartt ® Rugged Flex ® Rigby Cargo Pant,CT103574,Black,,,
Carhartt ® Rugged Flex ® Rigby Cargo Pant,CT103574,Dark - KHAKI,,,
Carhartt ® Rugged Flex ® Rigby Cargo Pant,CT103574,Dark Khaki,,,
