Order Number,Company,Original Line Item,Product Name,Style Number,Garment Color,Size,Quantity,Review Reason
#1498,,Richardson Lite Wide Brim Hat 810 - Royal / OSFA,Richardson Lite Wide Brim Hat,810,Royal,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1498,,24/7 Original Tactical Pant Rip-Stop - Black / 54 / UH,24/7 Original Tactical Pant Rip-Stop - Black / 54,,,UH,6,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1498,,Straw Hat,Straw Hat,,,,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1499,Water - R&C,35001AI - Wrangler Rugged Wear Relaxed Fit Jean - Antique Indigo / 44 / 32,,35001AI,Wrangler Rugged Wear Relaxed Fit Jean - Antique Indigo / 44,32,10,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1499,,CornerStone  ®  Select Lightweight Snag-Proof Enhanced Visibility Polo CS423 - Safety Yellow/ Black / 3XL,CornerStone ® Select Lightweight Snag-Proof Enhanced Visibility Polo,CS423,Safety Yellow/ Black,3XL,4,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1499,,Port Authority ®  Knit Cap.  CP90 - Neon Orange / OSFA,Port Authority ® Knit Cap,CP90,Neon Orange,OSFA,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1500,Water Quality- R/C,Port Authority ®  Double Mesh Snapback Sandwich Bill Cap. C818 - Black/ Silver / OSFA,Port Authority ® Double Mesh Snapback Sandwich Bill Cap,C818,Black/ Silver,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1500,,Port Authority ®  Double Mesh Snapback Sandwich Bill Cap. C818 - Black/ Shock Green / OSFA,Port Authority ® Double Mesh Snapback Sandwich Bill Cap,C818,Black/ Shock Green,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1500,,Port Authority ®  Double Mesh Snapback Sandwich Bill Cap. C818 - Black/ Shock Blue / OSFA,Port Authority ® Double Mesh Snapback Sandwich Bill Cap,C818,Black/ Shock Blue,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1500,,Port Authority ®  Double Mesh Snapback Sandwich Bill Cap. C818 - Black/ Red / OSFA,Port Authority ® Double Mesh Snapback Sandwich Bill Cap,C818,Black/ Red,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1500,,Carhartt ®  Rugged Flex ®  Rigby Cargo Pant CT103574 - Dark Khaki / 3834,Carhartt ® Rugged Flex ® Rigby Cargo Pant,CT103574,Dark Khaki,3834,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1500,,Carhartt ®  Rugged Flex ®  Rigby Cargo Pant CT103574 - Black / 3834,Carhartt ® Rugged Flex ® Rigby Cargo Pant,CT103574,Black,3834,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1500,,WRT20JH - Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 38 / 34,,WRT20JH,Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 38,34,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1500,,NS849 - Wrangler ATG™ Men's Cliff Side Utility Pant - Bungee Cord / 38x34,,NS849,Wrangler ATG™ Men's Cliff Side Utility Pant - Bungee Cord,38x34,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1500,,NS849 - Wrangler ATG™ Men's Cliff Side Utility Pant - Morel / 38x34,,NS849,Wrangler ATG™ Men's Cliff Side Utility Pant - Morel,38x34,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1501,Water - Pumping Station,24/7 Original Tactical Pant Rip-Stop - Khaki / 40 / 34,24/7 Original Tactical Pant Rip-Stop - Khaki / 40,,,34,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1501,,NS849 - Wrangler ATG™ Men's Cliff Side Utility Pant - Caviar / 40x34,,NS849,Wrangler ATG™ Men's Cliff Side Utility Pant - Caviar,40x34,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1501,,WRT20JH - Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 40 / 34,,WRT20JH,Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 40,34,5,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1501,,The North Face ®  Barr Lake Hooded Soft Shell Jacket NF0A8BUF - Shady Blue Dark Heather / 2XL,The North Face ® Barr Lake Hooded Soft Shell Jacket,NF0A8BUF,Shady Blue Dark Heather,2XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1502,,Carhartt Force ®  Solid Short Sleeve Shirt CT105292 - Steel / XL,Carhartt Force ® Solid Short Sleeve Shirt,CT105292,Steel,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1502,,Carhartt Force ®  Solid Short Sleeve Shirt CT105292 - Dark Khaki / XL,Carhartt Force ® Solid Short Sleeve Shirt,CT105292,Dark Khaki,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1502,,Men's Deluxe Long Sleeve Cotton Coverall - Navy / XL,Men's Deluxe Long Sleeve Cotton Coverall - Navy,,,XL,2,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1502,,A4 Cooling Performance Long Sleeve Hooded Tee A4N3409 - Silver / XL,A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Silver,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1502,,A4 Cooling Performance Long Sleeve Hooded Tee A4N3409 - Scarlet / XL,A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Scarlet,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1502,,A4 Cooling Performance Long Sleeve Hooded Tee A4N3409 - Royal / XL,A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Royal,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1502,,A4 Cooling Performance Long Sleeve Hooded Tee A4N3409 - Pastel Mint / XL,A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Pastel Mint,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1502,,A4 Cooling Performance Long Sleeve Hooded Tee A4N3409 - Pastel Blue / XL,A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Pastel Blue,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1502,,A4 Cooling Performance Long Sleeve Hooded Tee A4N3409 - Navy / XL,A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Navy,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1502,,A4 Cooling Performance Long Sleeve Hooded Tee A4N3409 - Graphite / XL,A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Graphite,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1502,,A4 Cooling Performance Long Sleeve Hooded Tee A4N3409 - Black / XL,A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Black,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1503,,NKDX6688 - Medium - Valor,,NKDX6688,Medium - Valor,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1503,,NKDX6688 - Medium - Cool Grey,,NKDX6688,Medium - Cool Grey,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1503,,B9203 - Large - Red/Black,,B9203,Large - Red/Black,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1503,,B9203 - Large - Grey/White,,B9203,Large - Grey/White,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1503,,B9203 - Large - Blue/Black,,B9203,Large - Blue/Black,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1504,Water Quality- R/C,Port Authority ®  Knit Cap.  CP90 - Athletic Oxford / OSFA,Port Authority ® Knit Cap,CP90,Athletic Oxford,OSFA,1,Decoration color not assigned in Product Master
#1504,,Richardson Trucker Cap 112 - Charcoal/ Columbia Blue / OSFA,Richardson Trucker Cap,112,Charcoal/ Columbia Blue,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1504,,WRT20JH - Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 36 / 32,,WRT20JH,Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 36,32,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
