Vendor,Decoration Type,Decoration Color,Style Number,Product Name,Garment Color,Size,Quantity
S&S Activewear,Embroidery,Silver,212477,Bora Bora™ Booney,Grill,One Size,2
S&S Activewear,Embroidery,Silver,5350,Men's Motion Soft Shell Jacket,Charcoal,L,1
S&S Activewear,Embroidery,Silver,5350,Men's Motion Soft Shell Jacket,Deep Blue/ Charcoal,XL,1
S&S Activewear,Embroidery,Silver,6277,Cotton Blend Cap,Grey,S/M,2
S&S Activewear,Embroidery,Silver,6277,Cotton Blend Cap,Maroon,L/XL,1
S&S Activewear,Embroidery,Silver,6277,Cotton Blend Cap,Navy,S/M,2
S&S Activewear,Embroidery,Silver,6511,Trucker Cap,Black,One Size,1
S&S Activewear,Embroidery,Silver,6511,Trucker Cap,Charcoal,One Size,1
S&S Activewear,Embroidery,Silver,6572,,Navy or Black,,1
S&S Activewear,Embroidery,Silver,88192T,Men's Tall Pinnacle Performance Long Sleeve Piqué Polo,Carbon,XLT,2
S&S Activewear,Embroidery,Silver,88192T,Men's Tall Pinnacle Performance Long Sleeve Piqué Polo,Classic Navy,XLT,2
S&S Activewear,Embroidery,Silver,A2027,Men's Ultimate365 Wind Quarter-Zip Pullover,Black,L,1
